"LINK_ID","Shape_Length"
1,0.367375163070614
2,0.264365217932762
3,0.319560780446973
4,0.488581570673819
5,0.300038320667356
6,0.359207273131691
7,0.186833168775237
8,0.511992232425229
9,0.190802364893988
10,0.104892978724477
11,0.22397222389194
12,0.186508103574744
13,0.226565727550364
14,0.386414205719043
15,0.245711747273398
16,0.258186373563405
17,0.364166987729543
18,0.166149852209858
19,0.170263755050763
20,0.338452770593559
21,0.244687584830721
22,0.402036928885998
23,0.166723183961086
24,0.386899521146999
25,0.188526998514708
26,0.330543745629034
27,0.358044355141581
28,0.37024034867463
29,0.211117505402999
30,0.342543124279285
31,0.179112022565092
32,0.283499836449242
33,0.438007975079702
34,0.469119457234218
35,0.18078233842647
36,0.436418877863026
37,0.14701265159868
38,0.152973032651005
39,0.28074758762022
40,0.260729797920572
41,0.121015173244892
42,0.299682685997913
43,0.30620363251927
44,0.118834328616716
45,0.289845831780248
46,0.188042706770991
47,0.34918983777598
48,0.14572591049479
49,0.400686827188243
50,0.415788525508383
51,0.165762439670812
52,0.275695161251436
53,0.181328612007185
54,0.346195833633816
55,0.242967647959382
56,0.274758590995447
57,0.229394918753634
58,0.152204547773208
59,0.362131838521722
60,0.505933682205513
61,0.426968395115334
62,0.18361734197247
63,0.189627185155459
64,0.199540134862912
65,0.331727870506141
66,0.226698072531966
67,0.276796474767405
68,0.171885645820282
69,0.146854699419734
70,0.474349490370787
71,0.519911270863419
72,0.261502772379417
73,0.320206191127868
74,0.134773845957125
75,0.350584965247325
76,0.441285124346213
77,0.354014583762887
78,0.24060876461841
79,0.142316287514019
80,0.28387316362284
81,0.196806443003012
82,0.202305163257129
83,0.192307876573079
84,0.177887766130322
85,0.190589276585366
86,0.177013025013382
87,0.360430639948164
88,0.102503664476898
89,0.252184223312315
90,0.403907984292348
91,0.339904246030331
92,0.31697769762353
93,0.470113015706994
94,0.345404975193932
95,0.46486531968202
96,0.301344429388769
97,0.427939366934175
98,0.330344334641095
99,0.265139804023515
100,0.199455187094449
101,0.248175341344202
102,0.477432295600994
103,0.162077562425246
104,0.380571066232603
105,0.298513428299578
106,0.102235038616768
107,0.436054999380502
108,0.339146881889763
109,0.305473841928439
110,0.372920492104547
111,0.145782828909757
112,0.199492383086426
113,0.483906292917594
114,0.320054669088805
115,0.311610871671136
116,0.282213277834347
117,0.140272648116434
118,0.418957205348268
119,0.113698907288422
120,0.480750689984761
