0,0,4641
0,0,2891
0,0,4810
0,0,10675
0,1,4641
0,1,3508
0,1,10672
0,2,4641
0,2,2891
0,2,4810
0,2,10675
0,3,5745
0,3,3143
0,3,10671
0,4,5745
0,4,3143
0,4,10671
0,5,6967
0,5,5055
0,5,8104
0,5,4822
0,5,10675
0,6,11985
0,6,9443
0,6,10684
0,7,11985
0,7,9443
0,7,10684
0,8,6967
0,8,5055
0,8,8104
0,8,4822
0,8,10675
0,9,11985
0,9,9443
0,9,10684
0,10,11985
0,10,9443
0,10,10684
0,11,7955
0,11,3514
0,11,10672
0,12,11985
0,12,9443
0,12,10684
0,13,12334
0,13,10665
0,13,9897
0,13,4827
0,13,10675
0,14,11985
0,14,9443
0,14,10684
0,15,11985
0,15,9443
0,15,10684
0,16,12334
0,16,10665
0,16,9897
0,16,4827
0,16,10675
0,17,11985
0,17,9443
0,17,10684
0,18,11985
0,18,9443
0,18,10684
0,19,12334
0,19,10665
0,19,9897
0,19,4827
0,19,10675
0,20,11985
0,20,9443
0,20,10684
0,21,11985
0,21,9443
0,21,10684
0,22,12334
0,22,10665
0,22,9897
0,22,4827
0,22,10675
